PRODUCT_ID,CUSTOMER_ID,LOCATION_ID,TRANSACTION_DATE,PRICE_PER_UNIT,QUANTITY_SOLD
17,1,1,12/6/2017,12.42,44
22,1,1,7/15/2020,16,84
43,1,1,9/6/2020,11.5,26
17,1,1,5/8/2017,10.47,60
91,1,1,8/6/2020,12.66,34
17,1,1,1/29/2017,12.6,38
91,1,1,4/20/2019,12.14,24
91,1,1,9/19/2017,12.35,34
43,1,1,10/5/2017,12.49,16
17,1,1,2/23/2020,10.81,52
43,1,1,2/14/2018,12.64,22
43,1,1,5/27/2017,11.36,22
17,1,1,4/25/2019,11.48,54
43,1,1,9/26/2019,12.85,18
22,1,1,10/21/2017,15,64
22,1,1,5/6/2017,15,66
91,1,1,3/30/2020,11.53,36
91,1,1,9/4/2020,12.19,14
22,1,1,7/7/2018,16.5,56
43,1,1,1/11/2018,12.64,24
22,1,1,3/6/2017,15.5,86
17,1,1,12/29/2019,10.81,64
91,1,1,8/17/2020,12.19,36
22,1,1,10/4/2018,14,70
43,1,1,4/7/2020,11.45,22
22,1,1,10/12/2018,14,64
91,1,1,2/6/2019,13.27,38
91,1,1,2/23/2017,12.73,30
43,1,1,3/15/2018,12.64,16
43,1,1,8/3/2020,12.26,20
22,1,1,4/18/2017,15.5,90
91,1,1,4/13/2019,13.27,22
43,1,1,4/26/2020,12.26,12
17,1,1,4/16/2019,12.37,52
43,1,1,10/25/2018,10.12,24
22,1,1,5/26/2020,16,82
91,1,1,9/23/2019,12.87,28
22,1,1,1/12/2020,14,122
43,1,1,12/12/2018,10.12,28
43,1,1,12/4/2017,12.49,18
43,1,1,9/8/2017,12.49,14
17,1,1,5/5/2017,10.47,40
91,1,1,10/27/2018,10.97,30
43,1,1,10/3/2018,10.12,24
22,1,1,6/6/2020,16,56
91,1,1,7/21/2020,12.66,30
91,1,1,9/8/2017,12.35,24
91,1,1,2/11/2017,12.73,26
91,1,1,6/26/2017,11.49,34
22,1,1,10/2/2018,14,66
22,1,1,3/6/2019,15.5,86
17,1,1,7/15/2020,12.26,48
17,1,1,11/13/2018,10.45,62
91,1,1,10/7/2019,12.87,22
91,1,1,10/9/2019,12.87,34
91,1,1,1/6/2017,12.73,38
91,1,1,9/7/2020,12.19,36
91,1,1,9/27/2019,12.87,22
91,1,1,1/23/2019,13.27,32
